overall,food,service,ambience,review
5,5,5,5,We can鈥檛 say enough great things about this restaurant!  Bone鈥檚 is first class all the way.   The food is outstanding and every staff member including the bartender told my husband happy birthday. Our table was decorated and we were treated like royalty the entire time. I really appreciate the staff making my husbands 50th birthday amazing!
5,5,5,5,This was our first visit to Bones.  The food and service were outstanding.  The ambiance was great.  We will be back!
5,5,4,4,涔呫仐銇躲倞銇瑷銈屻伨銇椼仧銇屻併偣銉嗐兗銈銇鏈褰撱伀缇庡懗銇椼亱銇ｃ仧銇с仚銆
5,5,5,5,Best steakhouse in the country..Always superior to other quality restaurants..I always choose Bone's for all special occasions.
5,5,5,5,Great place great food
4,4,4,4,Get together with friends. An overall enjoyable experience.
5,5,5,5,Excellent food and service. We will definitely be back.
5,5,5,5,Bones was easily the best steakhouse I've been to in a long time.  The service and food left us amazed!  Highly recommend!
5,5,5,4,The food and service are always fabulous. We enjoy coming for special occasions and when we want a good steak!
5,4,5,5,best service I have had at any fine steak house.!!!
5,5,5,5,"As always, the service is the very best and the food is amazing. We love going to Bones for special occasions and any time we want to spoil ourselves."
5,5,5,5,"My favorite restaurant in Atlanta! Outstanding food and service. Ask to sit in the wine gallery if you have a party of 4 or less; quieter, more intimate location for dinner."
5,5,5,5,"Great dining experience, if you travel to Atlanta, Bones should be one of the restaurants you choose to eat."
5,5,5,5,It was great! My younger sister鈥檚 favorite!
5,5,5,5,This is the BEST place for lunch in Atlanta!!Best food and best service by the Best Bartenders Thos and Robert!!We hold the French Onion Soup as the standard that we compare any. It is fabulous. Burger is awesome!Don鈥檛 bother with anywhere else!Run to Bones for lunch and sit at the Bar.Thank you all!!!!!
5,5,5,5,What a fabulous lunch! We can't wait to come back!
5,5,5,5,We had a great time! The food was excellent and Derek was an amazing waiter!
5,5,5,5,"An Atlanta must ! Fabulous service, fantastic food , refined and elegant"
5,5,5,4,Wife Birthday
5,5,5,5,"Bones has been voted the best steak house in Atlanta because of their amazing food and great service.  My family loves to go and eat here for special occasions and also just because the food is amazing.  Make sure to try the Mac and Cheese, Truffle Mash potatoes and also the hash brown.  Everything on the menu is amazing and you will not be disappointed."
5,5,5,5,"We really enjoy dining at Bones.  The food is wonderful, and the service is always outstanding.  Thanks for a great evening!"
5,5,5,5,I wish I knew our waiters name he was the best!  Food and atmosphere also very good and excellent wine selection.
4,5,5,4,The food was excellent. We had jumbo shrimp cocktail and filets with lobster tails. The corn pudding is the side to get. Then mile high pie which is amazing!! Servers and assistants are on top of things. Be sure to get a reservation as they have the regulars and a steady crowd.
3,3,3,3,steak was cold and to raw asked for medium i would not go back
5,5,5,5,Overall great job! Will go back next time I鈥檓 in Atlanta for sure!
5,5,5,5,"The experience was wonderful, from the maitre de's personal attention, immediate service, the food presentation and quality, then dessert was awesome!Very expensive and worth it...would like to go more often!"
5,5,5,5,Always a great experience when you dine at Bones!
5,5,5,5,Outstanding from beginning to end. The service was incredible and the food even better. The tuna pizza and crispy rice were sooo yummy! Can not wait to go back.
5,5,3,5,Consistently great.
5,5,5,5,This was an unbeatable dinner. The truffle add on to the Food was spectacular
5,5,5,5,We鈥檙e from Florida and this is our favorite restaurant so it鈥檚 a MUST when we are here!
4,3,3,2,"much much much too noisy service too fast and pushy no class ,but good food"
3,4,2,2,"Food was good. Quality of sushi was about the same we get back home in Atlanta. I expected more in NYC. Service was inattentive. Noise level was almost unbearable. The bar area and hostess stand area were crowded beyond what a code violation would be. The noise level at our table kept us from talking comfortably. More than one table of loud,drunk (and obviously clueless to their surroundings) women"
5,5,5,5,"Amazing food, service and surprising value with good portions.  Outstanding creativity and flavors.  Among the best Omakase selections I have ever had.  Fantastic."
5,5,5,4,Nice experience with good food and New York vibes!
4,5,5,3,"We had the five course tasting menu, and everything was spectacular. We can鈥檛 wait to go back, but we鈥檒l be booking as early a reservation as possible. By the time we got to our final course & dessert it was so loud we couldn鈥檛 hear each other across the table."
4,5,3,4,6 pm reservation because we had a 7:30 show and getting seated at 6:20 DOES NOT CUT IT
1,1,2,2,Disappointing quality. Chicken quite dry with bitter sauce. Fish also dry and chewy with minimal flavor.Waitress did not follow-up
5,5,5,5,It was blessed.
5,5,5,5,Great food and service
5,5,5,5,My family and I frequently come to this wonderful restaurant. The food is impeccable and the service is top notch. I throughly enjoyed our waitress tonight. Very accommodating and nice. I hope to return in the near future.
5,5,5,4,"A great dining and social experience every time I visit.  Friendly, welcoming team, with tasty bites.  Looking forward to going back soon!"
5,5,5,5,"One of my favorite restaurants in NYC! Great service, ambiance, cocktails and food. Would recommend the Smoking Mule cocktail, the Tuna Eye Tarts appetizer, Crispy Tuna Rice, Chilean Sea Bass Entree, and Bread Pudding Dessert!"
5,5,5,4,We picked to sit at the counter but sitting at a table would have been better
4,5,4,4,Came here to celebrate my boyfriends dinner with my family. Great food and great experience!
2,2,3,3,Super expensive. Won鈥檛 recommend.
4,5,4,4,"BONDST is my absolute favorite sushi place in NYC. The Big Eye Tuna tarts are addictive and they have excellent rolls. My only recommendation would be a much needed upgrade to their cocktail program. For as elevated the food is here, there cocktails are basic at best. Overall though I would absolutely recommend BONDST."
5,5,4,4,My friends and I were celebrating our birthdays and this place was recommended by a friend. We booked a table for 6 pm and we were seated after a short wait.
5,5,5,5,My most favorite place !
5,5,5,5,Great food great atmosphere
4,5,3,4,"My reservation was for 3 people but when we arrived my host said that it was only for 2 people, which it wasn鈥檛, and so we had to be seated at a table up front by the bar which was far from ideal. It took a while for our server to come over to us and take our drink order, and throughout the entire dinner people who were standing at the bar were encroaching on our space (resting their hands on the back of our chairs, staring at us while sitting on a waiting bench uncomfortably close to us, etc.)."
5,5,5,5,This is the best restaurant in NYC.
5,5,5,5,One of my NYC favorites! Will visit every time I go!
5,5,5,5,"Amazong, A+, I understand the reputation and hype about the place."
5,5,5,5,We sat at the counters and loved that the chef took our order.  If I lived in NYC I would be there every weekend 鈾ワ笍
5,5,5,5,"Just wonderful. Great food, drinks, ambience, and the service is excellent."
5,5,5,5,Love the tuna tarts!!! So yummy! Highly recommend BondSt!
4,3,5,4,BondST has a great vibe to it and overall a good value..Food is pretty decent and service was amazing.
5,5,5,4,"Fish more fresh than expected, excellent food !"
5,5,5,5,"Top notch sushi, appetizers, nice wine and cocktail list. Excellent service and ambiance. Very Noho."
5,5,5,5,"We walked in & were quickly greeted by John who made sure my date & I got a booth towards the back with enough privacy to chat & talk freely. Next our amazing waiter Evan introduced himself then started if off on drinks & appetizers while my date & I came up with an ordering game plan. Once we were ready it was like Evan had appeared out of nowhere ready to help us eat some of the best sushi in NYC. Throughout the meal the staff were attentive & helpful, making sure our plates were continuously cleared & replaced, the water was always refilled, & they even kept checking in how we were liking different menu items!! Just the service alone was outstanding. Like any sushi pros, we ordered the the Omakase & were absolutely delighted by the freshness of the fish & the presentation! I鈥檇 definitely come back with a date or friends. BEWARE THIS RESTAURANT IS MOST DEFINITELY NOT FOR THE BROKE!!"
5,5,4,4,The food was superb as always. Will definitely be back.
5,5,5,5,Love it.  Great place.
5,5,5,5,I love this place! Continue to come back and continue to be impressed! Highly recommend!
5,5,5,5,"Extremely good food, great service. Definitely recommend."
5,5,5,5,We have been coming to Bond St. on our bi annual trips to NY for over 20 years and It NEVER disappoints.  The Chilean Sea bass is worth the trip alone.  Never a problem getting a reservation yet it is always full it seems.  Seated next to Justin Bateman this time!
5,5,5,5,Food is amazing
5,5,5,5,My birthday
5,5,5,5,We always love to have dinner at Bucaan! Have been going here since it opened and enjoy everything about the restaurant. I wish there was one in Miami!
5,5,5,5,Buccan is our favorite restaurant for a nice dinner or to take out of town guests.
5,5,5,5,We look forward to dining at Buccan every fall when we come down never disappoints
5,5,5,5,"The ambiance, the service, the food and individual attention given to each customer makes Buccan my very favorite restaurant!"
5,5,5,5,"My husband and I really enjoyed our dining experience. We are seasonal residents and try to get to Buccan as often as we can during the season. It was a wonderful meal. Our waiter, Norman, was well-versed with the menu and gave us excellent service. Just a great evening, a great meal and we will be back."
5,5,5,5,We have been going here for years.   Never disappointed.  Always great food and great service.
3,4,5,2,"We[2] arrived at 5:30 p.m. and were seated in the back room, right by the bar and waiter station....way too close to the couple next to us in a near vacant restaurant....big mistake...we should have insisted on a table out in the main room .Our server was terrific....very helpful with the menu selections as it was our first time. Food was excellent and served very timely. Table was too small to fit the various servings.Noise level was way too loud for us.We had much better experiences the previous 2 evenings at other local restaurants of this caliber."
5,5,5,5,Great as always staff and servers are sharp anticipatory of my needs
5,5,5,5,Just an awesome way to experience dinner!
5,5,5,5,Delicious food and great service.  Definitely on the list for a return visit.
5,5,5,5,Love this restaurant which is always more of an experience! Never disappointed.
5,5,5,5,Came for a birthday celebration. Everything was delicious! Highly recommend it for celebrations or date nights.
5,5,5,5,Truly the best meal we have had all year!!
4,5,5,4,Loved our waitress and the small plates (lamb bastilla was particularly clever and delicious). Pretty place with a good vibe and attentive service but for an anniversary our table was teensy and jammed right up next to two others so we had to compete with the noise from both directions to converse. Not that romantic despite the candlelight. Also thought it would be dressier. Many people in T-shirts and jeans which was kind of depressing.
5,5,5,5,Superb high quality food. service and ambiance.
5,5,5,5,By far one of my favorite restaurants in palm beach county if not in the a United States. Everything about Buccan is special.
5,5,5,5,"This place was awesome, as always. Along with Coolinary Cafe, best overall experience in the county.They could do with a better beer list and a signature whiskey cocktail."
5,5,5,4,"Excellent place - moderately expensive, but the service was perfect and the dishes very tasty. Will go back."
5,5,5,5,Best food in palm beach.
5,5,5,5,We try to make it to Buccan every time we come to Palm Beach because it鈥檚 consistently exceptional!
5,5,5,5,"A lovely well designed spot, fantastic food, excellent level of service, great for special events"
5,5,5,4,Anniversary
5,5,5,5,Between the food and service it is a fabulous place. Worth my 35 minute trip from delray
5,5,5,5,Wonderful experience start to finish!
5,5,5,4,We had an absolutely amazing experience sharing many small plates among us all. The flavors exploded on all of the dishes - truly amazing !! Only warning is the cost - can get expensive ( $ 140 per person with tip).
5,3,5,3,Not my favorite
5,5,5,5,Food and service both fantastic.  Highly recommend.
5,5,5,4,Our server made out dining experience perfect. He gave us great recommendations and timed everything such that the evening flowed beautifully. The combination of plates was a perfect balance of flavors.
5,5,5,5,My daughter never visited Palm Beach before and is very much a foodie so it was a no brainer...Buccan.And Buccan did not disappoint. We could only get a reservation for 6:15 but that was perfect because she is 30 years old and she was able to see the happy hour crowd as well.  We were seated immediately and the bar and restaurant was packed (in a good way).Food and service was perfect. She had a wonderful time and told everyone about it.Thanks Buccan
5,5,5,5,Francisco is an incredible server. The food is simply amazing and the management cares enough to visit each table.
5,5,5,5,"Food was great ! Small dishes , but great food . The waiter was fun and attentive. The value was good and a fun place to eat , not a good choice for a quite night out. This place is full of energy and noise. Highly recommend as a spot to hit if your down here on vacation.  馃憤"
4,5,4,3,"Fools was excellent as always. But, once again, service dropped off as dining room got busy. Dining room was also very cold!  Squid ink pasta a favorite!"
5,5,5,5,The best in breed by far of the Palm Beach restaurant market.  Creative dishes that present different tastes and experiences from dish to dish.  We often go and get 5-6 small plates and a bottle of wine plus dessert.  Prices may seem steep but are actually a great value for the money vis a vis other high-end restaurants on the Island.  Just great!
5,5,5,5,"The only thing negative about Buccan is the noise level, it can be out of control.  The food and service are wonderful so you tolerate it"
5,5,5,5,"We dined on  a Jewish holiday and before start of the  Palm Beach 鈥渟eason鈥 so it was WAY quieter and more relaxed than on a normal night when this joint is jumping. Of course we always find the food and service excellent even when it鈥檚 crowded - it鈥檚 the crowd that can be off- putting  at Buccan  with its everyone-on-the-make bar scene and overly entitled patrons. I guess that comes with the territory! Highly recommend the duck, the broccoli and hummus plate,  and the the burrata!"
5,5,5,3,"Food & service were spot on, we had several small plates and every thing was tasty and cooked to perfection."
5,5,5,5,My favorite restaurant on Palm Beach.  Food and staff are second to none.
5,5,5,4,Food was fabulous and very creative. Our waitress was spot on with the recommendations. We ordered dishes outside of our comfort zone and loved all of them.
5,5,5,5,Best restaurant in Florida.  So many different small plate options with different types of cuisines.
5,5,5,5,"My husband and I celebrated our 1st anniversary at Cafe Monarch over the weekend and were blown away. The atmosphere is stunning, romantic and the service is out of this world. Every staff member that we spoke to wished us a Happy Anniversary and made the experience extra special. The food was even better than expected, everything was cooked perfectly and plated beautifully. I can鈥檛 say enough good things about Cafe Monarch and we will definitely be back."
5,5,5,5,"Beautiful restaurant in a beautiful setting. We sat at the bar, where you can order a la carte. Great service, great food, and an overall excellent experience"
5,5,5,5,Excellent from start to finish. Food was superb and the service was impeccable.
5,5,5,5,"I went to Cafe Monarch on Friday evening for my wedding anniversary.  This has to be one of the best restaurants I have ever been to.  I'm originally from NZ so ordered the rack of NZ Lamb for the main course - unbelievable!  The service from Kelly was also outstanding. The right amount of attention without being too intrusive.  Nothing was a problem for the waiting staff.  I also found that even though the first three courses were small, the main course was ample and altogether was the perfect amount of food and mix of styles/types of food.  We will definitely be back here again!"
5,5,5,5,No matter what I say nothing can say just how great the staff and service was.  Just amazing. This is a perfect date night restaurant.   Took my wife there for our anniversary....#winning!  Ha.   This is a must go restaurant.
5,5,5,4,Excellent service and food quality. My husband and I eat here when we are in town. Cafe Monarch has never disappointed us!
5,5,5,5,Birthday celebration and it was perfect!
5,5,5,5,"Outstanding service, ambiance & food. Expensive night out, but worth the experience."
5,5,5,5,"This was an excellent find for us visiting Scottsdale.  I would go there again and recommend to friends.  It combines excellent food, service and ambiance."
5,5,5,5,"I came here for a date a few nights ago and we sat outside. The noise level was quiet, the servers did such a beautiful job explaining the food and the inspiration. I honestly have never had better tasting or higher quality food. The food was plated so lovely, and intentionally. I couldn鈥檛 have asked for a better night or a better dining experience. Thank you!"
5,5,5,5,"If you looking for a great restaurant experience, this is it.  The service,  food is exceptional!!!"
5,5,5,5,What an amazing restaurant!  The food was delicious and the service was impeccable!  I was there with my husband and it was one of the most romantic restaurant settings we鈥檝e experienced.
5,5,5,5,Great Evening in every respect.Will return.
5,5,5,5,Everyone was very kind and was aware it was our anniversary. Made us feel special throughout the night. Great time
5,5,5,5,"A four course set menu that changes every few weeks.  On this night the flavors, seasonings, sauces, and garnishes were a delight.  So many different tastes in one sitting - soup, duck, lamb, beef, scallops, salmon, lobster, and a fillet mignon you wouldnt even need teeth to eat.  Exceptional tastes.  Its high cost ($400 all in for two with cocktails), so save up and take your lady to a treat."
5,5,5,5,"This was our second time coming to Cafe Monarch.  It didn鈥檛 fail to live up to our first visit.  This place is absolutely amazing.  The food is extraordinarily wonderful, the staff goes above and beyond, and the ambience is lovely.  We cannot wait to come back!!"
5,5,5,5,The food was excellent and portions were just right considering there were four courses - five if you had room for dessert
5,5,5,5,"Outstanding experience in every sense - service, food, ambiance!  Cannot wait to dine at Cafe Monarch again, thank you to their team for an amazing evening."
5,5,5,5,Wonderful experience.
5,5,5,5,"Amazing ambience, food, staff and drinks. Exceeded high expectations and highly recommend Cafe Monarch to anyone wanting a great, classy night out."
5,5,3,5,One of the BEST meals we have ever had!!! The cauliflower soup was AMAZING!!! Lamb was absolutely incredible !!! Every bite was delicious .I would highly recommend this restaurant for a meal that is out of this world!!!
5,5,5,5,"Truly the most upscale restaurant in Arizona. The food was amazing, the service staff reviewed every plate when they brought it out. Their wine list is very long. The seeing is elegant and romantic."
5,5,5,5,"Service was impeccable the food was creative and fun.  Best anniversary dinner imaginable, I couldn鈥檛 say enough good things about our experience."
5,5,5,5,As always everything is perfect. We discovered that they have moved across the street which gives more room. Highly recommend dining here especially for special occasions.
5,5,5,5,A lovely place for a special occasion.
5,5,5,5,"Our first time. We were impressed with the service, wine knowledge and excellent cuisine!! The ambience outside is something special."
5,5,5,5,"Great food, ambiance and service.  One of the best restaurants we have dined at and we have been to many top ten places all over the US."
5,5,5,5,Amazing service with delicious food
5,5,5,5,"Overall one of the better dining experiences we have had.  It is a beautiful place especially after dark, well appointed rooms, some would make you feel as if you were dining in a family dining room.  Superior food and service.  We did a wine pairing with our dinner and that enhanced the experience.  Service was excellent and the pace of the dinner was great.  A bit expensive but you definitely get what you pay for.  I highly recommend Caf茅 Monarch especially for a special occasion."
5,5,5,5,Awesome experience - must visit. The 4 course meal was soecracular.
5,5,5,5,Everything exceeded my expectations  food service ambiance was perfect. My only suggestion is that I would have preferred  an option of 3 corses and then desert I was a bit full by the time 4th corse came  by every bit of food was outstanding and we look forward to  going back again!!!!!!!!!
5,5,5,5,"Fabulous restaurant for a special occasion. The atmosphere is beautiful and elegant, yet not pretentious. The food was over the top delicious! The first course of cauliflower soup with truffles was complete umami. Every course was perfectly cooked, seasoned and presented. The wine pairings matched exquisitely. It was truly a special evening!"
5,5,5,5,Wedding anniversary
5,5,5,5,Best meal I鈥檝e ever eaten. I鈥檝e traveled all over the country and ate at so many great restaurants. This was hands down the best food and overall experience. The server was a food and wine connoisseur and added to the evening. Strongly recommend doing the wine pairing! Amazing!
5,5,5,5,I'm a repeat customer and will continue to return. The food and service is incredible.
5,5,5,5,Excellent. Beautiful setting.  Great food.  Great service.  Best special occasion dining occasion restaurant in Scottsdale.
5,5,5,5,Great service. Wonderful food. It鈥檚 a great place for a date.
4,4,4,5,Service was not quite as good as we had experienced before.  Had to remind them to take my wine order and no offer to assist on the wine selection.   Plates sat on table for awhile after our main course.
5,5,5,5,Sam was a fabulous server. Great food & ambience.
5,5,5,5,Everything about cafe Monarch was amazing
5,5,5,5,"Hubby鈥檚 birthday. By far, our favorite place to eat in KC!!"
5,5,5,4,"We ordered the veal scaloppini and the breast of chicken. Both were suggested by our server, Jonathan G. His service and menu suggestions were excellent, as was his wine choice to accompany our meal. We would have liked to see creamer br没l茅e on the dessert menu, but decided to pass on their choices. We will return when in the area!"
5,5,5,5,Excellent in every way
5,5,5,5,Divine authentic French food.
5,5,5,5,The staff is first class!  We always feel so welcome at Cafe Provence and the food is absolutely the best in town and regional area!
5,5,5,5,We had fantastic service and our food was outstanding.
5,5,5,5,"Cafe Provence is the quintessential French Bistro that never disappoints.    Small in size, but huge in quality and service, this is the perfect place for a special dinner or lunch for those who appreciate fine dining at fair prices."
5,5,5,5,51st wedding anniversary
5,5,5,5,Our favorite 鈥硷笍 The food is ALWAYS outstanding. Wish I could give them 10 stars 猸愶笍
5,5,5,5,I stopped in while on work travel and had the best experience at the little bar. I had mussels and the soup special of the day carrot and cardamom soup. It was extremely good! Finally the seasonal spice cake was heavenly. Surprisingly great French in Kansas!
5,4,5,4,"Nice French selection of classic cuisine. Quite and cozy, a bit dark. Great service!!"
5,5,5,5,"Must be the best restaurant in this region. Everything we enjoyed was French cuisine at its best. And the staff are charming and efficient without rushing us. And to top things off, the prices are more than reasonable. Many thanks to you all!"
5,5,4,4,Pre fix menu done very well.  Highly recommend this restaurant.  Small so plan ahead with reservation.
5,5,5,5,Great food and service!
5,5,5,5,"Always great.  Never disappointed.   Food, service, atmosphere never disappoints."
3,4,4,3,Good. Paintings could be updating in the restaurant.
5,5,5,5,"Thought I was in France, so delicious and the staff- Outstanding!"
5,5,5,5,Always perfect in every way
5,4,4,4,Always great!
5,5,5,5,Always love coming to Cafe Provence.  Food and service are impeccable.  And great wines by the glass.
5,5,5,4,"This is one of the best restaurants anywhere, consistently good with friendly gracious service  and fair prices. How lucky we are in Kansas City to have such a gem/"
5,5,5,5,"Went on a monthly outing with a group of friends. Each month we go somewhere different but we always come back to Cafe Provence because we agree it's our favorite place! We usually do lunch but this time we did a 5:00 light supper with wine, cheese plate, soups, and the delicious souffle. Recommend highly."
5,5,5,5,Need champagne by the glass. Very good
5,5,5,5,"Everything was fabulous!  They never disappoint... food, atmosphere, service, friendliness.  On of the top restaurants in KC and the MOST consistent."
5,5,5,5,Annual get together. Always good
5,5,5,5,Awesome !!! Danielle was amazing !!The veal cheek was incredible as was the crab cake The soup & the salmon & the Dover sole 鉂わ笍鉂わ笍鉂わ笍
5,5,5,5,Best food in KC
5,5,5,5,Always outstanding!
5,5,5,5,Very nice lunch with excellent and attentive service.  Food was excellent.
5,5,5,5,Always a wonderful dining experience!!
5,5,5,5,Excellent!  The closest thing to a true French bistro in KC.
4,5,5,4,"For my wife and I, Cafe Provence is our 鈥淕o To鈥 place for special occasions. Or, for just a really great meal!  We love the wonderful food, the friendly staff and the cozy atmosphere."
5,5,5,5,"Charming ambiance, wonderful service, incredible food!"
5,5,5,5,"We loved everything about this place! From the outside seating to the cozy dark charming inside. Escargot was delicious! Great wine selection from reasonable to more pricey but definitely worth it! Our table was able to taste veal, boar and salmon. Dessert was great! All just delicious! Staff was helpful friendly and kind. So many things on the menu I didn鈥檛 get to try so I鈥檒l HAVE to go back! It鈥檚 like walking into a little piece of France in the middle of Kansas City. Worth it!"
5,5,5,5,"The best! Cafe Provence does not disappoint.  For business people and parties with multiple families, we do need to be able to split checks without being scoffed at however."
5,5,5,5,Birthday lunch for my sister
5,5,5,5,Excellent as always!
5,5,5,5,"What a wonderful experience!  We came to Cafe Provence for lunch to celebrate our anniversary and we were not disappointed.  The servers were attentive, but not overly so, and the food was exceptional.  My husband said the Quiche Lorraine was the very best he'd ever tasted.  I chose the Lobster Ravioli with creamed cabbage and the flavors were amazing.  Thank you Cafe Provence for a great anniversary memory."
5,5,5,5,"This is one of my favorite restaurants in Kansas City. The food is elegant, flavorful and beautifully presented.  The wine list is lovely and has a nice selection.  The service is always outstanding and the atmosphere, whether dining inside or outside, is relaxing and charming.  The Tuesday Prix Fixe menu is a wonderful offering and a great value."
4,4,5,3,I will not be back because you serve veal. I don't understand how you could do this.
5,0,0,0,"Wonderful service, outstanding food. A great dining experience!!!!"
5,0,0,0,Charleston is one of the top tier restaurants in the mid Atlantic region.
5,0,0,0,Outstanding food preparation. First rate wine list.Impeccable service.Elegant comfortable ambience.For special occasions.
5,0,0,0,This was the most amazing meal my wife and I ever had. Special occasions become elevated dining in a place like this. We were incredibly happy with our experience
5,0,0,0,The food is always good. The location is great and the view of the water you can't beat.
5,0,0,0,"BEST FOOD, BEST SERVICE, BEST DINING EXPERIENCE EVER!!!"
5,0,0,0,Excellent food! One of the best spots in Baltimore.
5,0,0,0,My favorite restaurant!  I love the way the menu is presented with no categories.
5,0,0,0,"By far, the best restaurant in Baltimore.  Cindy Wolf is a creative genius.  She  also keeps the restaurant performing like a well-choreographed dance."
5,0,0,0,"Outstanding menu, wine selection, and service.  An experience not to be missed."
5,0,0,0,"Wonderful for a special occasion. Food, service, and ambiance are all outstanding."
5,0,0,0,"Best place for a romantic night out or special occasion with amazing food, and great service.  The lobster curry bisque or the she crab soup are both delicious.  Local and fresh ingredients are used."
5,0,0,0,"Outstanding food and impeccable service.  What else do you need?!! The perfect place to celebrate a special occasion and now a more casual dining opportunity in the bar.  Charleston is expensive, but worth every penny!"
5,0,0,0,Formality reigns with kindness and gentleness!  Delicious dining experience.
5,0,0,0,Special occasions with wife. Always more special here at Charleston.
5,0,0,0,"Memorable food experience. We went for a special birthday, and the meal lived up to the hype and the price. They pay attention to details and you feel special about being in the beautiful place eating gorgeous and delicious food."
5,0,0,0,I've been here twice for special occasions and absolutely love it.  The food is spectacular and the service is outstanding.  Completely worth it.
5,0,0,0,Cindy Wolf's oldest is still her best and food shines at Charleston
5,0,0,0,Cindy Wolf knows how to run a restaurant.  Charleston has been renovated since it's inception but there was never a time the food wasn't top notch. Innovate and delicious.
5,0,0,0,Some of the finest food and service in the area.  The best sauces and selections of foods.  Super wine list and pairings.  High quality everything.
5,0,0,0,Great restaurant wonderful food and service never had a bad meal.
5,0,0,0,"Baltimore's finest restaurant. Every detail is perfect, from the drinks, food, service, and decor.  Pricy but worth a visit."
5,0,0,0,It has been several years since I ate there but it remains the best restaurant/meal/evening I have had to date.
5,0,0,0,"Definitely a special occasion spot, never disappointed, exceptional food and service."
3,0,0,0,"So here's the thing. The food wasn't bad. It was good. It just wasn't $500+ for two people good. My husband and I have been to exceptional Michelin star/bib gourmand restaurants in the United states, UK, and elsewhere. These places provide you with an excellent experience and fantastic food that we feel are worth the amount they charge. The bottom line for us was the service was nice, the food was good, but it was absolutely not worth how much we paid especially when compared to world class restaurants that charge nearly HALF the price for an unforgettable experience. Not for us."
4,0,0,0,"The portions were very small and very rich.  I ordered a filet mignon medium and got rare,  The cheesecake for dessert was the size of an ice cube.  The service was outstanding.  Overall, it was nice; but I did not consider it a good value."
5,0,0,0,We hadn't been to the Charleston for many years.  We were not disappointed.  It was a wonderful experience.  The food was great and the service was superb.
5,0,0,0,Baltimore institution. Wine bar with most delicious food in the world.
5,0,0,0,Fantastic private dinner for 16.  I will return whenever I'm in Baltimore.
5,5,5,5,A top notch experience from start to finish!
5,5,5,5,Best Restaurant ever!! Wonderful experience all around!!! A must when visiting Baltimore.
5,5,5,5,One of my favorite restaurants! My wife and I frequent Charleston celebrating many momentous occasions and the New Year's menu is always extra special.  Charleston is one the best restaurants in the United States. Everything is perfection. I have had the pleasure of dining here many times and it always amazes. The lamb I had here recently was the best preparation I have ever eaten. The truffle soup with foie gras I had recently is something I'll be thinking about for many months. Quiet honestly you just have to eat try the diversity of the menu to experience it. No review could describe quality and taste of food or does justice to all the flavors. You just have to eat it!   A true culinary experience. The service is truly professional and friendly.  No better way to start a new year.
5,5,5,5,Imho the only destination in Baltimore for true fine dining. Opt for the pairing menu to get the most out of most food and wine.
5,5,5,5,Dinner was outstanding from start to finish. Great service and great food.
5,5,5,5,"Charleston is my favorite restaurant.  My husband and I go at least three times a year.  If available, I get the fried oysters (2 orders).  The branzino fish was delicious and my husband enjoyed the black sea bass.  I love the way the menu is listed and you just select what you want, no specified appetizers, entrees etc.  The chef Cindy Wolf is a culinary genius and she makes sure she greets all of her guests.  She knows my husband and I always come the Saturday before Christmas or the last Saturday of the year.  The service is outstanding and you will have an excellent dining experience."
5,5,5,5,I was celebrating my 60th birthday and you made me feel so welcomed! Our meal was incredible and the staff really first rate!
5,5,5,5,Superlative in every respect
5,5,5,5,Food was amazing!!
5,5,5,5,"It was my birthday and it was the most wonderful evening in every way.  From the greeting when we walked in the door, to the service and of course the food.  It was all fabulous."
5,5,4,5,"Excellent as usual.  I was not happy about paying $25.00 a piece for 2 glasses of champagne.  I know I didn't ask for the price before I ordered it, but if I had i wouldn't have ordered it."
3,3,5,4,Some dishes were served cold and had to be sent back. I thought the menu lacked creativity. Everything was done well just not exceptionally like I anticipated for the restaurant. Service was impeccable though and should be recognized. I was not charged for the off dishes and were removed without me be notified which I found refreshing. I will give it a second chance when I return if the menu is updated.
5,5,5,5,"As always, service and food were both excellent."
5,5,5,5,Our favorite restaurant in Charleston.  What a wonderful place to celebrate a special event.
5,5,5,5,"This was the first trip for my wife and I to Charleston. We decided to get the fine dining experience that the city is known for.  We went with the six course tasting menu and let the chef decide on the bulk of the courses. They were all delicious, from the chilled octopus to the rack of lamb. The staff was very attentive and helpful.  We sat next to the band, so the noise level was a little high, but we enjoyed it. We will go again on our next trip."
5,5,5,5,Great food! Great service! Andrew was our Sommelier and server. He picked the perfect wines to go with our food and my preference in wines.
5,5,5,5,"Had an eight course tasting menu, which was phenomenal!!!  Service was outstanding along with great ambiance."
4,4,4,4,Solid enjoyable dining experience Would recommend as one of the places to go in town
5,5,5,5,Food was fantastic with beautiful presentation. Music was additional bonus. Wonderful meal.
5,5,5,5,"Excellent food, wine and service."
5,5,5,5,"Outstanding!!!Adam, our server, and his colleague, Trevor, were outstanding!"
5,5,5,5,Amazing Service. Meal spectacular. Love the live music!
5,5,5,5,Fabulous all around birthday dinner. Service was impeccable and food was delicious!
3,3,4,4,"Convenient as we were starting at the Belmond. Nice ambience with a jazz combo playing during the time we were there for dinner.  Service was impeccable, though servers could have been a little more talkative.  Oysters were just ok.  The crabcake appetizer was Outstanding.  The prime rib was a nice piece of meat well cooked but somehow nothing special.  Potato gratin was terrific."
5,5,5,5,"we did the tasting menu.  It was great.  Also enjoyed the musical duet, father and son on guitar and violin."
